City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
235,Ayacucho,PE,-13.1583,-74.2239,53.73,80,98,4.83,overcast clouds
236,Puerto Escondido,MX,15.85,-97.0667,81.99,71,84,2.51,broken clouds
237,Zhezkazgan,KZ,47.8043,67.7144,57.18,54,20,4.47,few clouds
238,Wajir,KE,1.7471,40.0573,80.56,78,75,4.61,broken clouds
239,Cochrane,CA,51.1834,-114.4687,45.54,71,75,12.66,broken clouds
240,Sahuaripa,MX,29.05,-109.2333,75.81,18,1,8.05,clear sky
241,Ambilobe,MG,-13.2,49.05,72.55,81,45,2.91,scattered clouds
242,Barrow,US,71.2906,-156.7887,11.59,92,81,9.84,broken clouds
243,Broken Hill,AU,-31.95,141.4333,62.31,88,100,4.61,overcast clouds
244,Jalu,LY,29.0331,21.5482,71.44,23,91,14.56,overcast clouds
245,Onega,RU,63.9061,38.1404,26.19,64,55,8.79,broken clouds
246,Tuatapere,NZ,-46.1333,167.6833,54.36,80,64,5.37,broken clouds
247,Upernavik,GL,72.7868,-56.1549,28.99,72,100,6.2,overcast clouds
248,Fare,PF,-16.7,-151.0167,82.71,67,24,19.01,few clouds
249,Diffa,NE,13.3154,12.6113,82.6,18,51,8.77,broken clouds
250,Loma Bonita,PA,8.3833,-80.1667,80.78,89,100,10.22,overcast clouds
251,Mansa,IN,29.9833,75.3833,99.43,9,0,4.5,clear sky
252,Sistranda,NO,63.7256,8.834,31.96,56,100,6.42,overcast clouds
253,Palm Coast,US,29.585,-81.2078,72.07,85,40,4.61,scattered clouds
254,Kieta,PG,-6.2167,155.6333,84.45,71,32,4.32,light rain
255,Lebu,CL,-37.6167,-73.65,50.22,85,81,15.7,broken clouds
256,Shingu,JP,33.7333,135.9833,72.43,91,100,2.8,heavy intensity rain
257,Micheweni,TZ,-4.9667,39.8333,78.33,84,100,8.88,moderate rain
258,Orcopampa,PE,-15.2661,-72.3417,46.74,54,100,2.24,overcast clouds
259,Juneau,US,58.3019,-134.4197,44.98,96,100,3.13,overcast clouds
260,Turukhansk,RU,65.8167,87.9833,31.46,84,83,9.89,broken clouds
261,Ketchikan,US,55.3422,-131.6461,42.28,88,100,4.83,overcast clouds
262,Kahului,US,20.8947,-156.47,76.84,86,55,7.0,broken clouds
263,Fort Morgan,US,40.2503,-103.8,61.45,17,0,10.36,clear sky
264,Saint-Augustin,CA,51.226,-58.6502,34.47,98,100,8.23,snow
265,Pundaguitan,PH,6.3711,126.1689,81.55,77,100,4.88,overcast clouds
266,Borba,BR,-4.3878,-59.5939,74.19,89,68,2.59,broken clouds
267,Payson,US,40.0444,-111.7321,63.37,29,100,4.0,overcast clouds
268,Lavrentiya,RU,65.5833,-171.0,26.35,87,60,3.22,broken clouds
269,Alofi,NU,-19.0595,-169.9187,75.09,94,100,6.91,light intensity drizzle
270,Nha Trang,VN,12.25,109.1833,89.6,60,40,8.19,scattered clouds
271,Rio Gallegos,AR,-51.6226,-69.2181,37.45,81,100,14.97,overcast clouds
272,Ust-Kuyga,RU,70.0167,135.6,16.23,82,78,5.28,broken clouds
273,Alyangula,AU,-13.8483,136.4192,78.67,89,100,8.05,overcast clouds
274,Tucuman,AR,-26.8241,-65.2226,64.4,100,100,4.61,overcast clouds
275,Atambua,ID,-9.1061,124.8925,83.88,58,95,3.47,overcast clouds
276,Samaipata,BO,-18.15,-63.8667,57.79,96,100,4.99,overcast clouds
277,Gat,IL,31.61,34.7642,72.39,69,44,3.96,scattered clouds
278,Souillac,MU,-20.5167,57.5167,76.53,79,18,9.13,few clouds
279,Benjamin Constant,BR,-4.3831,-70.0311,77.13,98,100,1.34,overcast clouds
280,Padang,ID,-0.9492,100.3543,86.81,68,36,4.97,scattered clouds
281,Maroantsetra,MG,-15.4333,49.7333,73.54,84,77,2.84,broken clouds
282,Dali,CN,25.7,100.1833,74.43,28,0,8.05,clear sky
283,Liverpool,GB,53.4106,-2.9779,44.62,79,100,6.91,overcast clouds
284,Tura,IN,25.5198,90.2201,86.79,57,10,6.53,clear sky
285,Roald,NO,62.5833,6.1333,39.76,75,92,8.05,overcast clouds
286,Nouadhibou,MR,20.931,-17.0347,63.5,85,0,21.61,clear sky
287,Lasa,IT,46.6166,10.7002,35.37,80,17,4.68,few clouds
288,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.26,63,2,2.89,clear sky
289,Wanxian,CN,30.8039,108.3897,82.74,53,100,7.43,overcast clouds
290,Batagay,RU,67.6333,134.6333,23.23,76,100,5.86,overcast clouds
291,Lahan,NP,26.7296,86.4951,95.81,29,0,11.95,clear sky
292,Solnechnyy,RU,50.7214,136.6319,29.03,93,100,17.52,snow
293,Strezhevoy,RU,60.7333,77.5889,35.98,97,99,8.1,overcast clouds
294,Najran,SA,17.4924,44.1277,74.21,41,1,0.63,clear sky
295,Le Vauclin,MQ,14.5452,-60.8388,77.85,73,0,6.91,clear sky
296,Tambovka,RU,50.0969,128.0489,45.27,33,47,15.39,scattered clouds
297,Nishihara,JP,26.1842,127.7558,84.25,78,75,13.8,broken clouds
298,Portland,US,45.5234,-122.6762,49.95,77,75,6.91,broken clouds
299,Safaga,EG,26.7292,33.9365,75.94,47,0,10.33,clear sky
300,Hambantota,LK,6.1241,81.1185,84.54,94,49,3.44,scattered clouds
301,Mayo,US,38.8876,-76.5119,59.11,85,0,6.91,clear sky
302,Srednekolymsk,RU,67.45,153.6833,26.33,92,100,10.47,light snow
303,Lakeway,US,30.3638,-97.9796,66.7,79,0,4.0,clear sky
304,Sibu,MY,2.3,111.8167,85.51,69,87,4.29,overcast clouds
305,Mashhad,IR,36.297,59.6062,68.14,60,40,0.0,scattered clouds
306,Berezovyy,RU,51.6667,135.7,30.9,90,100,11.25,snow
307,Rudbar,AF,30.15,62.6,90.21,13,49,3.24,scattered clouds
308,Namatanai,PG,-3.6667,152.4333,85.53,69,12,10.8,few clouds
309,Noumea,NC,-22.2763,166.4572,82.38,99,99,14.54,overcast clouds
310,Businga,CD,3.3333,20.8833,69.1,98,100,2.39,overcast clouds
311,Barcelos,PT,41.5388,-8.6151,55.85,94,47,3.83,scattered clouds
312,Aguimes,ES,27.9054,-15.4461,61.43,68,40,18.41,scattered clouds
313,Poum,NC,-20.2333,164.0167,78.39,66,92,22.64,overcast clouds
314,Zarubino,RU,42.63,131.0922,55.4,28,0,13.4,clear sky
315,Male,MV,4.1748,73.5089,84.4,69,22,1.03,few clouds
316,Vetrni,CZ,48.7743,14.2862,43.9,97,100,1.77,light rain
317,Pangkalanbuun,ID,-2.6833,111.6167,92.16,50,85,4.14,overcast clouds
318,Caravelas,BR,-17.7125,-39.2481,74.39,78,0,4.59,clear sky
319,Ratnagiri,IN,16.9833,73.3,91.94,41,6,8.25,clear sky
320,Shimoda,JP,34.6667,138.95,74.1,92,100,12.93,overcast clouds
321,Umred,IN,20.85,79.3333,102.49,9,55,4.61,broken clouds
322,Omboue,GA,-1.5746,9.2618,76.95,89,100,9.66,moderate rain
323,Libreville,GA,0.3925,9.4537,75.43,93,100,1.19,moderate rain
324,Riyadh,SA,24.6877,46.7219,73.54,37,4,12.59,clear sky
325,Buraydah,SA,26.326,43.975,73.72,46,24,6.91,few clouds
326,Verkhoyansk,RU,67.5447,133.385,25.41,72,99,7.4,overcast clouds
327,San Cristobal,VE,7.7669,-72.225,67.64,96,100,0.56,overcast clouds
328,Oranjemund,NA,-28.55,16.4333,61.34,39,0,6.6,clear sky
329,Sioux Lookout,CA,50.1001,-91.917,18.68,96,100,3.58,overcast clouds
330,Klaksvik,FO,62.2266,-6.589,36.52,63,89,7.81,overcast clouds
331,Baykit,RU,61.67,96.37,36.86,64,19,3.8,few clouds
332,La Rioja,ES,42.25,-2.5,47.98,81,100,2.17,light rain
333,Krasnoselkup,RU,65.7,82.4667,30.9,90,100,17.81,overcast clouds
334,Muros,ES,42.7762,-9.0603,51.67,95,18,7.02,few clouds
335,Beloha,MG,-25.1667,45.05,71.69,89,100,12.21,overcast clouds
336,Sept-Iles,CA,50.2001,-66.3821,35.06,97,100,4.43,overcast clouds
337,Cherskiy,RU,68.75,161.3,33.19,96,78,8.79,broken clouds
338,Komsomolskiy,UZ,40.4272,71.7189,61.52,82,75,6.91,shower rain
339,Palmer,US,42.1584,-72.3287,52.95,88,100,0.0,moderate rain
340,Kisanga,TZ,-7.4362,37.7034,70.16,96,97,3.44,overcast clouds
341,Mandalgovi,MN,45.7625,106.2708,45.9,18,52,10.69,broken clouds
342,Matay,EG,28.419,30.7792,67.51,39,0,12.68,clear sky
343,Saint John,CA,45.2727,-66.0677,41.79,97,99,5.35,overcast clouds
344,Milicz,PL,51.5277,17.2714,44.11,82,25,1.01,scattered clouds
345,Huilong,CN,31.8111,121.655,63.5,54,96,15.39,overcast clouds
